date;cmpgn;kw;kw status;impressions;clicks;cost;conversions;all_conversions;search_impression_share;search_rank_lost_impression_share;top_impression_percentage;absolute_top_impression_percentage;total_conversion_value;all_conversion_value
2021-01-11;Branded;integrated marketing communications;paused;53;6;6,42;0;0;0,1;0,83;0,79;0,31;0;0
2021-01-11;Non Branded Funnel;pay per click marketing;enabled;44;0;0;0;0;0,1;0,6;0,14;0;0;0
2021-01-11;Non Branded Funnel;marketing intermediaries;enabled;1;0;0;0;0;0;0;0;0;0;0
2021-01-11;Non Branded Funnel;internet marketing agency;enabled;1;0;0;0;0;0;0;0;0;0;0
2021-01-11;Non Branded Funnel;content marketing agency;enabled;5;0;0;0;0;0,1;0,62;0;0;0;0
2021-01-11;Non Branded Funnel;marketing consultant;enabled;1;0;0;0;0;0,11;0,44;0;0;0;0
2021-01-11;Non Branded Funnel;global marketing strategy;enabled;3;0;0;0;0;0,1;0,5;0;0;0;0
2021-01-11;Non Branded Funnel;website marketing;enabled;2;0;0;0;0;0,25;0,5;0;0;0;0
2021-01-11;Non Branded Funnel;marketing budget;enabled;1;0;0;0;0;0;0;0;0;0;0
2021-01-12;Non Branded Funnel;principles of marketing;enabled;37;2;4,8;0;0;0,28;0,67;0,81;0,13;0;0
2021-01-12;Branded;integrated marketing communications;paused;49;3;3,69;0;0;0,1;0,9;0,91;0,32;0;0
2021-01-12;Non Branded Funnel;pay per click marketing;enabled;24;0;0;0;0;0,1;0,9;0,13;0;0;0
2021-01-12;Non Branded Funnel;social media marketing;enabled;12;0;0;0;0;0,45;0,55;0,3;0,1;0;0
2021-01-12;Non Branded Funnel;channel marketing;enabled;2;0;0;0;0;0,1;0,9;0;0;0;0
2021-01-12;Non Branded Funnel;marketing intermediaries;enabled;2;0;0;0;0;0,1;0,9;0;0;0;0
2021-01-12;Non Branded Funnel;internet marketing agency;enabled;2;0;0;0;0;0,1;0,9;0;0;0;0
2021-01-12;Non Branded Funnel;marketing budget;enabled;2;0;0;0;0;0;0;0;0;0;0
2021-01-13;Non Branded HubSpot;marketing mix;enabled;29;2;3,33;0;0;0,1;0,9;0,68;0,14;0;0
2021-01-13;Branded;integrated marketing communications;paused;47;4;4,88;0;0;0,1;0,9;0,84;0,28;0;0
2021-01-13;Non Branded Funnel;principles of marketing;enabled;2;0;0;0;0;0,1;0,42;0;0;0;0
2021-01-13;Non Branded Funnel;social media marketing;enabled;1;0;0;0;0;0;0;0;0;0;0
2021-01-13;Non Branded Funnel;social media marketing;enabled;1;0;0;0;0;0,1;0,44;0;0;0;0
2021-01-13;Non Branded Funnel;marketing budget;enabled;3;0;0;0;0;0;0;0;0;0;0
2021-01-14;Non Branded Funnel;principles of marketing;enabled;35;1;2,04;0;0;0,17;0,83;0,93;0,37;0;0
2021-01-14;Branded;integrated marketing communications;paused;51;3;2,42;0;0;0,1;0,9;0,76;0,31;0;0
2021-01-14;Non Branded Funnel;pay per click marketing;enabled;60;0;0;0;0;0,1;0,9;0,2;0;0;0
2021-01-14;Non Branded Funnel;social media marketing;enabled;31;2;1,14;0;1;0,23;0,77;0,23;0,03;0;0
